大正新脩大藏經第 54 冊 No. 2135 梵語雜名


　　No. 2135

梵語雜名

　　翻經大德兼翰林待詔光定寺歸茲國沙門　禮言集

　　睿山沙門　真源較

　　有情身分

　　天　泥𭌯又素羅　deva蒪sura
　　近　薩銘波又阿薩儞泥　samepa蒪asanine

　　深　儼毘羅玉𠰘也　gambhīraguhya

　　到　糝鉢羅(二合)(引)波多(二合)　saṃprāpta

　　不到　那三(去)鉢羅(二合)波多　nasaṃprāpta

　　步　跛娜　pada

　　未到　那怛(引)縛三(去)鉢羅波多　natāvasaṃprapta

　　上馬　阿濕縛(二合)烏迦羅　aśvaūkara

　　下馬　阿濕縛(二合)烏娜(引)　aśvaudāra

　　入　鉢羅(二合)尾捨　praviśa

　　出　儞迦羅　nikkara

　　送　鉢禮沙也　pareṣaya

　　迎　鉢囉底喻捺誐麼曩　pratyudaśamana

　　喚　阿麼怛羅曩　amatrana

　　招　茗捺哆　medata

　　追　阿羯㗚史哆　akarṣita

　　心　指多　citta

　　意　麼那　mana

　　思　指底　citta

　　現　素儞刺麼攬　suniramalaṃ

　　命　呼命也鉢羅曩　prana

　　隨　娑佉也　sakhaya

　　記　薩沒里(二合)底(亦念也)　samṛti

　　念　娑麼(二合)囉　smara

　　思　母喇佉　murkha

　　智　日若曩　jñāna

　　忘　尾娑麼(二合)羅　vismara

　　知　惹儞又云喏哆　jini蒪jata

　　識　婆哩惹儞　bharijani

　　苦　諾佉　duḥkha

　　能知　曩喏娜底　najñāti

　　極　素率𭌎　susto

　　何知　吉惹儞　kijani

　　不知　那惹儞　najani

　　貪　囉(引)誐　rāga

　　煩惱　吉𭐘捨　kleśa

　　嗔　泥沙又嚕瑟吒又訖羅駄　deṣa蒪rūṣṭa蒪kradha

　　癡　謨賀又怛叻瑟曩　moha蒪tṛ

　　信　室唎儞弟　śrīddho

　　受　壹瑟吒　iṣṭa

